ambito_tasa,territorio_id,territorio_nombre,grupo_edad_id,sexo_id,tasa_asistencia,numerador,denominador,metrica,fuente_id,estado_dato
DEP,26070,Paso de Indios,12_14,T,0.972,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,12_14,T,0.973,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,12_14,T,0.97,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26007,Biedma,12_14,T,0.9790000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,12_14,T,0.9470000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26021,Escalante,12_14,T,0.986,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26014,Cushamen,12_14,T,0.987,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26091,Sarmiento,12_14,T,0.988,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26084,Río Senguer,12_14,T,0.986,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26077,Rawson,12_14,T,0.988,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26098,Tehuelches,12_14,T,0.966,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26105,Telsen,12_14,T,0.9570000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26049,Gastre,15_17,T,0.9,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26042,Gaiman,15_17,T,0.934,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26035,Futaleufú,15_17,T,0.965,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26070,Paso de Indios,15_17,T,0.789,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,15_17,T,0.9229999999999999,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,15_17,T,0.9440000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26007,Biedma,15_17,T,0.948,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,15_17,T,0.9009999999999999,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26021,Escalante,15_17,T,0.9590000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26014,Cushamen,15_17,T,0.951,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26091,Sarmiento,15_17,T,0.929,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
